登录时间,被试编号,性别,惯用手,标识
07-07 15:17,3.0,男,右手,SZ21-03
07-07 17:28,1.0,男,右手,SZ21-01
07-07 17:28,2.0,女,右手,SZ21-02
07-07 17:28,3.0,男,右手,SZ21-03
07-07 17:29,2.0,女,右手,SZ21-02
07-07 17:29,1.0,男,右手,SZ21-01
07-07 17:29,3.0,男,右手,SZ21-03
07-07 17:34,2.0,女,右手,SZ21-02
07-07 17:34,1.0,男,右手,SZ21-01
07-07 17:34,3.0,男,右手,SZ21-03
07-07 17:40,1.0,男,右手,SZ21-01
07-07 17:40,2.0,女,右手,SZ21-02
07-07 17:40,3.0,男,右手,SZ21-03
07-07 17:43,2.0,女,右手,SZ21-02
07-07 17:43,1.0,男,右手,SZ21-01
07-07 17:43,3.0,男,右手,SZ21-03
07-07 18:10,3.0,男,右手,SZ21-03
07-07 18:10,1.0,男,右手,SZ21-01
07-07 18:10,2.0,女,右手,SZ21-02
07-07 18:20,1.0,男,右手,SZ21-01
07-07 18:20,2.0,女,右手,SZ21-02
07-07 18:20,3.0,男,右手,SZ21-03
07-07 18:21,2.0,女,右手,SZ21-02
07-07 18:21,1.0,男,右手,SZ21-01
07-07 18:21,3.0,男,右手,SZ21-03
07-07 18:48,3.0,男,右手,SZ21-03
07-07 18:48,1.0,男,右手,SZ21-01
07-07 18:48,2.0,女,右手,SZ21-02
07-07 18:49,1.0,男,右手,SZ21-01
07-07 18:49,2.0,女,右手,SZ21-02
07-07 18:49,3.0,男,右手,SZ21-03
07-07 18:49,1.0,男,右手,SZ21-01
07-07 18:49,2.0,女,右手,SZ21-02
07-07 18:49,3.0,男,右手,SZ21-03
07-07 18:55,1.0,男,右手,SZ21-01
07-07 18:55,2.0,女,右手,SZ21-02
07-07 18:55,3.0,男,右手,SZ21-03
07-07 18:56,2.0,女,右手,SZ21-02
07-07 18:56,1.0,男,右手,SZ21-01
07-07 18:56,3.0,男,右手,SZ21-03
07-07 18:59,2.0,女,右手,SZ21-02
07-07 18:59,1.0,男,右手,SZ21-01
07-07 18:59,3.0,男,右手,SZ21-03
07-07 19:02,1.0,男,右手,SZ21-01
07-07 19:02,2.0,女,右手,SZ21-02
07-07 19:02,3.0,男,右手,SZ21-03
07-07 19:05,2.0,女,右手,SZ21-02
07-07 19:05,1.0,男,右手,SZ21-01
07-07 19:05,3.0,男,右手,SZ21-03
07-07 19:05,1.0,男,右手,SZ21-01
07-07 19:05,2.0,女,右手,SZ21-02
07-07 19:05,3.0,男,右手,SZ21-03
07-07 19:36,2.0,女,右手,SZ21-02
07-07 19:36,1.0,男,右手,SZ21-01
07-07 19:36,3.0,男,右手,SZ21-03
07-07 19:42,2.0,女,右手,SZ21-02
07-07 19:42,1.0,男,右手,SZ21-01
07-07 19:42,3.0,男,右手,SZ21-03
07-08 09:32,1.0,男,右手,SZ21-01
07-08 09:32,2.0,女,右手,SZ21-02
07-08 09:32,3.0,男,右手,SZ21-03
07-08 09:33,1.0,男,右手,SZ21-01
07-08 09:33,2.0,女,右手,SZ21-02
07-08 09:33,3.0,男,右手,SZ21-03
07-08 09:33,1.0,男,右手,SZ21-01
07-08 09:33,2.0,女,右手,SZ21-02
07-08 09:33,3.0,男,右手,SZ21-03
07-08 11:01,2.0,女,右手,SZ21-02
07-08 11:01,1.0,男,右手,SZ21-01
07-08 11:01,3.0,男,右手,SZ21-03
07-08 11:03,1.0,男,右手,SZ21-01
07-08 11:03,2.0,女,右手,SZ21-02
07-08 11:03,3.0,男,右手,SZ21-03
07-08 11:11,1.0,男,右手,SZ21-01
07-08 11:11,2.0,女,右手,SZ21-02
07-08 11:11,3.0,男,右手,SZ21-03
07-09 11:40,2.0,女,右手,SZ21-02
07-09 11:40,1.0,男,右手,SZ21-01
07-09 11:40,3.0,男,右手,SZ21-03
07-09 15:34,2.0,女,右手,SZ21-02
07-09 15:34,1.0,男,右手,SZ21-01
07-09 15:34,3.0,男,右手,SZ21-03
07-09 15:35,2.0,女,右手,SZ21-02
07-09 15:35,1.0,男,右手,SZ21-01
07-09 15:35,3.0,男,右手,SZ21-03
07-09 15:38,2.0,女,右手,SZ21-02
07-09 15:38,1.0,男,右手,SZ21-01
07-09 15:38,3.0,男,右手,SZ21-03
07-09 16:06,2.0,女,右手,SZ21-02
07-09 16:06,1.0,男,右手,SZ21-01
07-09 16:06,3.0,男,右手,SZ21-03
07-09 16:58,2.0,女,右手,SZ21-02
07-09 16:58,1.0,男,右手,SZ21-01
07-09 16:58,3.0,男,右手,SZ21-03
07-09 17:04,2.0,女,右手,SZ21-02
07-09 17:04,1.0,男,右手,SZ21-01
07-09 17:04,3.0,男,右手,SZ21-03
07-09 17:07,2.0,女,右手,SZ21-02
07-09 17:07,1.0,男,右手,SZ21-01
07-09 17:07,3.0,男,右手,SZ21-03
07-09 17:10,2.0,女,右手,SZ21-02
07-09 17:10,1.0,男,右手,SZ21-01
07-09 17:10,3.0,男,右手,SZ21-03
07-09 17:13,2.0,女,右手,SZ21-02
07-09 17:13,1.0,男,右手,SZ21-01
07-09 17:13,3.0,男,右手,SZ21-03
07-09 17:19,2.0,女,右手,SZ21-02
07-09 17:19,1.0,男,右手,SZ21-01
07-09 17:19,3.0,男,右手,SZ21-03
07-09 18:18,2.0,女,右手,SZ21-02
07-09 18:18,1.0,男,右手,SZ21-01
07-09 18:18,3.0,男,右手,SZ21-03
07-09 18:28,2.0,女,右手,SZ21-02
07-09 18:28,1.0,男,右手,SZ21-01
07-09 18:28,3.0,男,右手,SZ21-03
07-09 18:33,3.0,男,右手,SZ21-03
07-09 18:33,1.0,男,右手,SZ21-01
07-09 18:33,2.0,女,右手,SZ21-02
07-09 18:36,1.0,男,右手,SZ21-01
07-09 18:36,2.0,女,右手,SZ21-02
07-09 18:36,3.0,男,右手,SZ21-03
07-09 19:10,2.0,女,右手,SZ21-02
07-09 19:10,1.0,男,右手,SZ21-01
07-09 19:10,3.0,男,右手,SZ21-03
07-09 19:25,2.0,女,右手,SZ21-02
07-09 19:25,1.0,男,右手,SZ21-01
07-09 19:25,3.0,男,右手,SZ21-03
07-09 20:24,2.0,女,右手,SZ21-02
07-09 20:24,1.0,男,右手,SZ21-01
07-09 20:24,3.0,男,右手,SZ21-03
07-10 10:14,2.0,女,右手,SZ21-02
07-10 10:14,1.0,男,右手,SZ21-01
07-10 10:14,3.0,男,右手,SZ21-03
07-10 10:17,3.0,男,右手,SZ21-03
07-10 10:17,1.0,男,右手,SZ21-01
07-10 10:17,2.0,女,右手,SZ21-02
07-10 10:22,2.0,女,右手,SZ21-02
07-10 10:22,1.0,男,右手,SZ21-01
07-10 10:22,3.0,男,右手,SZ21-03
07-10 10:25,1.0,男,右手,SZ21-01
07-10 10:25,2.0,女,右手,SZ21-02
07-10 10:25,3.0,男,右手,SZ21-03
07-10 10:28,2.0,女,右手,SZ21-02
07-10 10:28,1.0,男,右手,SZ21-01
07-10 10:28,3.0,男,右手,SZ21-03
07-10 10:34,2.0,女,右手,SZ21-02
07-10 10:34,1.0,男,右手,SZ21-01
07-10 10:34,3.0,男,右手,SZ21-03
07-10 10:35,2.0,女,右手,SZ21-02
07-10 10:35,1.0,男,右手,SZ21-01
07-10 10:35,3.0,男,右手,SZ21-03
07-10 10:55,2.0,女,右手,SZ21-02
07-10 10:55,1.0,男,右手,SZ21-01
07-10 10:55,3.0,男,右手,SZ21-03
07-10 11:03,2.0,女,右手,SZ21-02
07-10 11:03,1.0,男,右手,SZ21-01
07-10 11:03,3.0,男,右手,SZ21-03
07-10 11:20,2.0,女,右手,SZ21-02
07-10 11:20,1.0,男,右手,SZ21-01
07-10 11:20,3.0,男,右手,SZ21-03
07-10 11:21,1.0,男,右手,SZ21-01
07-10 11:21,2.0,女,右手,SZ21-02
07-10 11:21,3.0,男,右手,SZ21-03
07-10 11:23,2.0,女,右手,SZ21-02
07-10 11:23,1.0,男,右手,SZ21-01
07-10 11:23,3.0,男,右手,SZ21-03
07-10 11:23,2.0,女,右手,SZ21-02
07-10 11:23,1.0,男,右手,SZ21-01
07-10 11:23,3.0,男,右手,SZ21-03
07-10 11:27,3.0,男,右手,SZ21-03
07-10 11:27,1.0,男,右手,SZ21-01
07-10 11:27,2.0,女,右手,SZ21-02
07-10 11:28,1.0,男,右手,SZ21-01
07-10 11:28,2.0,女,右手,SZ21-02
07-10 11:28,3.0,男,右手,SZ21-03
07-10 11:47,1.0,男,右手,SZ21-01
07-10 11:47,2.0,女,右手,SZ21-02
07-10 11:47,3.0,男,右手,SZ21-03
07-10 13:12,1.0,男,右手,SZ21-01
07-10 13:12,2.0,女,右手,SZ21-02
07-10 13:12,3.0,男,右手,SZ21-03
07-10 13:12,1.0,男,右手,SZ21-01
07-10 13:12,2.0,女,右手,SZ21-02
07-10 13:12,3.0,男,右手,SZ21-03
07-10 13:13,1.0,男,右手,SZ21-01
07-10 13:13,2.0,女,右手,SZ21-02
07-10 13:13,3.0,男,右手,SZ21-03
07-10 13:32,2.0,女,右手,SZ21-02
07-10 13:32,1.0,男,右手,SZ21-01
07-10 13:32,3.0,男,右手,SZ21-03
07-10 13:47,1.0,男,右手,SZ21-01
07-10 13:47,2.0,女,右手,SZ21-02
07-10 13:47,3.0,男,右手,SZ21-03
07-10 15:15,1.0,男,右手,SZ21-01
07-10 15:15,2.0,女,右手,SZ21-02
07-10 15:15,3.0,男,右手,SZ21-03
07-10 16:23,2.0,女,右手,SZ21-02
07-10 16:23,1.0,男,右手,SZ21-01
